State,District,Name,TRU,Level,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
23,457,Balaghat,Total,DISTRICT,391836,1701698,842178,859520,212931,108278,104653,125426,61576,63850,383026,186979,196047,1147623,626468,521155,893014,488610,404404,530506,338314,192192,362508,150296,212212,808684,353568,455116
23,458,Guna,Total,DISTRICT,244401,1241519,649362,592157,207177,108473,98704,193115,100646,92469,190819,98206,92613,653980,400537,253443,514897,335454,179443,353671,276196,77475,161226,59258,101968,726622,313908,412714
23,459,Ashoknagar,Total,DISTRICT,172680,845071,443837,401234,138787,72239,66548,175764,92216,83548,82072,42447,39625,469109,290304,178805,315270,231829,83441,241288,199418,41870,73982,32411,41571,529801,212008,317793
23,460,Shahdol,Total,DISTRICT,251452,1066063,540021,526042,159806,81943,77863,89733,45547,44186,476008,236947,239061,604194,348761,255433,493057,292402,200655,240811,170300,70511,252246,122102,130144,573006,247619,325387
23,461,Anuppur,Total,DISTRICT,170715,749237,379114,370123,106071,54388,51683,74385,37841,36544,358543,177977,180566,436595,254120,182475,346471,207401,139070,227040,154768,72272,119431,52633,66798,402766,171713,231053
23,462,Sidhi,Total,DISTRICT,238448,1127033,575912,551121,194528,101633,92895,130202,66174,64028,313304,159192,154112,600785,353030,247755,461760,284289,177471,275482,194774,80708,186278,89515,96763,665273,291623,373650
23,463,Singrauli,Total,DISTRICT,243925,1178273,613637,564636,209792,109094,100698,150664,77882,72782,383994,196133,187861,585054,359923,225131,499439,304234,195205,348393,242234,106159,151046,62000,89046,678834,309403,369431
23,464,Jhabua,Total,DISTRICT,194157,1025048,515023,510025,211869,109040,102829,17427,8770,8657,891818,446359,445459,352081,214582,137499,515121,265489,249632,370641,211155,159486,144480,54334,90146,509927,249534,260393
23,465,Alirajpur,Total,DISTRICT,123800,728999,362542,366457,147961,74818,73143,26877,13481,13396,648638,321842,326796,209754,120905,88849,366797,188698,178099,265029,152147,112882,101768,36551,65217,362202,173844,188358
23,466,Khandwa (East Nimar),Total,DISTRICT,266655,1310061,674329,635732,208140,107730,100410,156601,80697,75904,459122,234867,224255,731615,432259,299356,612976,369676,243300,492393,323266,169127,120583,46410,74173,697085,304653,392432
23,467,Burhanpur,Total,DISTRICT,146341,757847,388504,369343,122869,63874,58995,64254,33037,31217,230095,116420,113675,408679,233073,175606,328339,211925,116414,274900,189074,85826,53439,22851,30588,429508,176579,252929
24,468,Kachchh,Total,DISTRICT,445672,2092371,1096737,995634,318412,165739,152673,258859,133224,125635,24228,12825,11403,1252319,739239,513080,776228,624704,151524,686937,591369,95568,89291,33335,55956,1316143,472033,844110
24,469,Banas Kantha,Total,DISTRICT,560411,3120506,1610379,1510127,510310,268858,241452,327460,169288,158172,284155,144355,139800,1704923,1048402,656521,1248600,836268,412332,1012080,779716,232364,236520,56552,179968,1871906,774111,1097795
24,470,Patan  ,Total,DISTRICT,267633,1343734,694397,649337,184779,97762,87017,123408,64190,59218,13303,6835,6468,837913,494631,343282,554830,383074,171756,446240,353815,92425,108590,29259,79331,788904,311323,477581
24,471,Mahesana,Total,DISTRICT,424479,2035064,1056520,978544,237932,129169,108763,162288,84470,77818,9392,4879,4513,1502645,847499,655146,812064,588699,223365,698768,552121,146647,113296,36578,76718,1223000,467821,755179
24,472,Sabar Kantha,Total,DISTRICT,481414,2428589,1244231,1184358,345490,181529,163961,187685,96527,91158,542156,272531,269625,1578734,918625,660109,1084878,681435,403443,795096,598804,196292,289782,82631,207151,1343711,562796,780915
24,473,Gandhinagar,Total,DISTRICT,289990,1391753,723864,667889,167377,90604,76773,108608,56919,51689,18204,9711,8493,1030494,582686,447808,534976,408075,126901,451951,372747,79204,83025,35328,47697,856777,315789,540988
24,474,Ahmadabad,Total,DISTRICT,1510134,7214225,3788051,3426174,842518,453790,388728,759483,399075,360408,89138,47106,42032,5435760,3025463,2410297,2594952,2127547,467405,2332409,2005714,326695,262543,121833,140710,4619273,1660504,2958769
24,475,Surendranagar,Total,DISTRICT,343213,1756268,909917,846351,240011,126572,113439,179461,93427,86034,21453,11068,10385,1093626,643221,450405,723500,504038,219462,586364,470081,116283,137136,33957,103179,1032768,405879,626889
24,476,Rajkot,Total,DISTRICT,786586,3804558,1974445,1830113,438580,235534,203046,290169,149782,140387,24017,12504,11513,2725056,1514075,1210981,1479050,1159480,319570,1324783,1106368,218415,154267,53112,101155,2325508,814965,1510543
24,477,Jamnagar,Total,DISTRICT,430941,2160119,1114192,1045927,263972,138608,125364,173895,89597,84298,24187,12415,11772,1396534,795140,601394,847440,646822,200618,721253,604615,116638,126187,42207,83980,1312679,467370,845309
24,478,Porbandar ,Total,DISTRICT,124556,585449,300209,285240,65926,34648,31278,51830,26607,25223,13039,6730,6309,393678,221621,172057,231169,174118,57051,195437,160952,34485,35732,13166,22566,354280,126091,228189
24,479,Junagadh,Total,DISTRICT,527326,2743082,1404356,1338726,311930,163535,148395,265793,136319,129474,55571,28463,27108,1842818,1046981,795837,1123709,801859,321850,942709,756431,186278,181000,45428,135572,1619373,602497,1016876
24,480,Amreli,Total,DISTRICT,294837,1514190,771049,743141,173555,92047,81508,132915,68518,64397,7322,3856,3466,995459,558180,437279,657139,453642,203497,529153,425753,103400,127986,27889,100097,857051,317407,539644
24,481,Bhavnagar,Total,DISTRICT,538605,2880365,1490201,1390164,381470,201720,179750,157034,80827,76207,9110,4751,4359,1887255,1087371,799884,1150632,838781,311851,992140,790944,201196,158492,47837,110655,1729733,651420,1078313
24,482,Anand  ,Total,DISTRICT,427605,2092745,1087224,1005521,254008,134827,119181,104465,54476,49989,24824,12761,12063,1551253,874481,676772,844794,627561,217233,690031,570226,119805,154763,57335,97428,1247951,459663,788288
24,483,Kheda,Total,DISTRICT,466856,2299885,1185727,1114158,291133,153591,137542,115631,59734,55897,40336,21057,19279,1660243,942480,717763,933983,674586,259397,722134,593568,128566,211849,81018,130831,1365902,511141,854761
24,484,Panch Mahals,Total,DISTRICT,446611,2390776,1226961,1163815,361311,186998,174313,100446,51278,49168,721604,368348,353256,1440805,858054,582751,1097507,673565,423942,685141,561301,123840,412366,112264,300102,1293269,553396,739873
24,485,Dohad  ,Total,DISTRICT,334272,2127086,1068651,1058435,414798,212968,201830,41444,20680,20764,1580850,793305,787545,1007171,599035,408136,999124,540881,458243,553395,416295,137100,445729,124586,321143,1127962,527770,600192
24,486,Vadodara,Total,DISTRICT,877106,4165626,2153736,2011890,499811,263506,236305,221629,114602,107027,1149901,586665,563236,2893080,1614087,1278993,1693473,1233312,460161,1360660,1121791,238869,332813,111521,221292,2472153,920424,1551729
24,487,Narmada,Total,DISTRICT,122174,590297,301086,289211,78123,40250,37873,8733,4465,4268,481392,244524,236868,370336,211767,158569,294795,174282,120513,193916,141516,52400,100879,32766,68113,295502,126804,168698
24,488,Bharuch,Total,DISTRICT,333483,1551019,805707,745312,179103,93265,85838,62235,31979,30256,488194,250398,237796,1118276,623047,495229,627124,468919,158205,526541,423884,102657,100583,45035,55548,923895,336788,587107
24,489,The Dangs,Total,DISTRICT,44699,228291,113821,114470,40743,20743,20000,992,490,502,216073,107539,108534,140968,77314,63654,118257,61329,56928,88038,53926,34112,30219,7403,22816,110034,52492,57542
24,490,Navsari  ,Total,DISTRICT,295131,1329672,678165,651507,135170,70298,64872,35464,17959,17505,639659,319740,319919,1001909,539471,462438,591834,407881,183953,510004,375375,134629,81830,32506,49324,737838,270284,467554
24,491,Valsad,Total,DISTRICT,364403,1705678,887222,818456,215439,111889,103550,38237,19557,18680,902794,450976,451818,1170657,655528,515129,743245,516188,227057,577327,450394,126933,165918,65794,100124,962433,371034,591399
24,492,Surat,Total,DISTRICT,1333200,6081322,3402224,2679098,736286,401315,334971,158115,82202,75913,856952,432089,424863,4571410,2687468,1883942,2553542,2142819,410723,2405288,2075920,329368,148254,66899,81355,3527780,1259405,2268375
24,493,Tapi,Total,DISTRICT,177091,807022,402188,404834,89075,45619,43456,8168,4139,4029,679320,335958,343362,490036,269007,221029,450902,251049,199853,337579,214069,123510,113323,36980,76343,356120,151139,204981
25,494,Diu,Total,DISTRICT,10580,52074,25642,26432,6476,3357,3119,1862,927,935,123,69,54,38058,20327,17731,15750,12932,2818,14718,12659,2059,1032,273,759,36324,12710,23614
25,495,Daman,Total,DISTRICT,50376,191173,124659,66514,20458,10787,9671,4262,2224,2038,15240,7702,7538,150348,104316,46032,105521,94502,11019,101717,91955,9762,3804,2547,1257,85652,30157,55495
26,496,Dadra & Nagar Haveli,Total,DISTRICT,76458,343709,193760,149949,50895,26431,24464,6186,3339,2847,178564,88844,89720,223230,142521,80709,157161,119293,37868,130299,109125,21174,26862,10168,16694,186548,74467,112081
27,497,Nandurbar,Total,DISTRICT,323521,1648295,833170,815125,240222,123582,116640,47985,24273,23712,1141933,568026,573907,906509,512099,394410,792065,442898,349167,664193,395928,268265,127872,46970,80902,856230,390272,465958
27,498,Dhule,Total,DISTRICT,408874,2050862,1054031,996831,273507,144121,129386,127571,65068,62503,647315,327034,320281,1293916,723388,570528,936370,570448,365922,825875,526267,299608,110495,44181,66314,1114492,483583,630909
27,499,Jalgaon,Total,DISTRICT,903643,4229917,2197365,2032552,532005,288827,243178,389273,199427,189846,604367,310150,294217,2891882,1629223,1262659,1863571,1186472,677099,1643955,1082936,561019,219616,103536,116080,2366346,1010893,1355453
27,500,Buldana,Total,DISTRICT,561504,2586258,1337560,1248698,332125,179072,153053,470895,241445,229450,124837,64153,60684,1879874,1048892,830982,1219641,734024,485617,1107542,682638,424904,112099,51386,60713,1366617,603536,763081
27,501,Akola,Total,DISTRICT,395690,1813906,932334,881572,211080,110372,100708,364059,186244,177815,100280,51359,48921,1411281,758977,652304,768154,520362,247792,691025,480913,210112,77129,39449,37680,1045752,411972,633780
27,502,Washim,Total,DISTRICT,259464,1197160,620302,576858,152190,81686,70504,229462,117867,111595,80471,41403,39068,869917,487703,382214,569792,340353,229439,502755,309242,193513,67037,31111,35926,627368,279949,347419
27,503,Amravati,Total,DISTRICT,647451,2888445,1480768,1407677,311391,160934,150457,506374,259398,246976,404128,205834,198294,2251875,1207104,1044771,1236322,837577,398745,1061544,753682,307862,174778,83895,90883,1652123,643191,1008932
27,504,Wardha,Total,DISTRICT,309846,1300774,668385,632389,128901,67187,61714,188830,96569,92261,149507,76698,72809,1019458,552617,466841,608235,392316,215919,529623,357852,171771,78612,34464,44148,692539,276069,416470
27,505,Nagpur,Total,DISTRICT,1041544,4653570,2384975,2268595,497087,257438,239649,867713,439205,428508,437571,223566,214005,3673808,1959220,1714588,1868560,1334211,534349,1654778,1224048,430730,213782,110163,103619,2785010,1050764,1734246
27,506,Bhandara,Total,DISTRICT,278076,1200334,605520,594814,126025,64626,61399,200372,100421,99951,88886,44515,44371,899860,488709,411151,597305,345054,252251,413838,263217,150621,183467,81837,101630,603029,260466,342563
27,507,Gondiya,Total,DISTRICT,292369,1322507,661554,660953,140365,71764,68601,175961,87434,88527,214253,105944,108309,1004243,542837,461406,665419,383151,282268,433962,281710,152252,231457,101441,130016,657088,278403,378685
27,508,Gadchiroli,Total,DISTRICT,250435,1072942,541328,531614,120272,61320,58952,120745,61041,59704,415306,207377,207929,708365,395110,313255,584237,323338,260899,392886,239961,152925,191351,83377,107974,488705,217990,270715
27,509,Chandrapur,Total,DISTRICT,536686,2204307,1123834,1080473,231316,118471,112845,348365,176898,171467,389441,196753,192688,1578615,872565,706050,1058172,648565,409607,804433,536752,267681,253739,111813,141926,1146135,475269,670866
27,510,Yavatmal,Total,DISTRICT,646886,2772348,1419965,1352383,330180,171782,158398,328518,167009,161509,514057,260896,253161,2022574,1115980,906594,1355999,815475,540524,1195100,743702,451398,160899,71773,89126,1416349,604490,811859
27,511,Nanded,Total,DISTRICT,665434,3361292,1730075,1631217,459572,240620,218952,640483,328797,311686,281695,143892,137803,2189425,1255222,934203,1493953,925232,568721,1317791,850493,467298,176162,74739,101423,1867339,804843,1062496
27,512,Hingoli,Total,DISTRICT,228868,1177345,606294,571051,165716,88052,77664,182565,93379,89186,111954,57674,54280,790743,450551,340192,569182,330903,238279,514371,308332,206039,54811,22571,32240,608163,275391,332772
27,513,Parbhani,Total,DISTRICT,361130,1836086,942870,893216,257320,136605,120715,247308,125883,121425,40514,20570,19944,1157814,666291,491523,822797,501422,321375,756417,473246,283171,66380,28176,38204,1013289,441448,571841
27,514,Jalna,Total,DISTRICT,391701,1959046,1011473,947573,287338,153642,133696,272266,138957,133309,42263,21988,20275,1195523,699428,496095,930886,545030,385856,844492,508298,336194,86394,36732,49662,1028160,466443,561717
27,515,Aurangabad,Total,DISTRICT,751915,3701282,1924469,1776813,532659,286721,245938,539368,277228,262140,143366,73876,69490,2503837,1430936,1072901,1575079,1015864,559215,1446636,958515,488121,128443,57349,71094,2126203,908605,1217598
